year,ai_plant_disease_works,all_plant_disease_works,ai_share_pct
2000,561,11115,5.05
2001,289,10418,2.77
2002,306,11884,2.57
2003,406,13720,2.96
2004,482,15753,3.06
2005,558,17793,3.14
2006,965,20491,4.71
2007,753,22572,3.34
2008,944,26039,3.63
2009,1125,30231,3.72
2010,1303,34553,3.77
2011,1413,40897,3.46
2012,1737,48685,3.57
2013,1917,55155,3.48
2014,2249,61959,3.63
2015,2418,65928,3.67
2016,2803,72526,3.86
2017,3324,83252,3.99
2018,4086,91693,4.46
2019,5653,105656,5.35
2020,7847,130519,6.01
2021,10514,146867,7.16
2022,13565,162158,8.37
2023,23145,219809,10.53
2024,27585,211137,13.06
2025,31409,212685,14.77
