crop,openalex_query,fao_item,ai_disease_works,production_tonnes,Unit,production_mt,works_per_mt
Coffee,coffee,"Coffee, green",441,11092848.71,t,11.09284871,39.755342521028574
Tomato,tomato,Tomatoes,2848,185476454.21,t,185.47645421,15.35504876956209
Apple,apple,Apples,1427,97431609.58,t,97.43160958,14.646170848982088
Orange,orange OR citrus,Oranges,946,69254941.47,t,69.25494147,13.659675106501826
Grape,grape OR grapevine,Grapes,933,75440038.0,t,75.440038,12.367438096995656
Potato,potato,Potatoes,1610,386749497.79,t,386.74949779,4.162901333291994
Banana,banana,Bananas,493,136676238.84,t,136.67623884,3.607064433322096
Rice,rice,Rice,2420,804744456.37,t,804.74445637,3.007165791381791
Wheat,wheat,Wheat,1315,794567417.02,t,794.56741702,1.6549885784794272
Maize,maize OR corn,Maize (corn),1658,1238582560.84,t,1238.5825608399998,1.3386269534390616
Soybean,soybean,Soya beans,465,370876094.01,t,370.87609401,1.2537880103630032
Cassava,cassava,"Cassava, fresh",318,339520621.35,t,339.52062135,0.9366146855397771
Barley,barley,Barley,100,142711447.07,t,142.71144707,0.7007146381954209
Sugarcane,sugarcane,Sugar cane,443,2017376426.93,t,2017.37642693,0.21959213664162214
