crop,countries,observations,country_share,year_share,residual_share
Taro,40,2520,0.8560327036461697,0.008133764782549152,0.1358335315712812
Oil palm fruit,33,2079,0.8403671405048154,0.020678132233940525,0.13895472726124403
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",32,2016,0.820622683045079,0.07185131721937993,0.10752599973554111
Sorghum,74,4662,0.8000771636766715,0.030466750040598782,0.1694560862827298
Rye,33,2079,0.7941712114440829,0.09642160733977158,0.10940718121614557
Carrots and turnips,64,4032,0.7930310153659816,0.07883946619774079,0.12812951843627762
"Other vegetables, fresh n.e.c.",149,9387,0.7913848244346998,0.012782978802400204,0.19583219676289998
Oats,47,2961,0.7842120602628632,0.05598063537214848,0.15980730436498836
Tomatoes,116,7308,0.7755519194479299,0.11116726831971505,0.11328081223235509
Eggplants (aubergines),43,2709,0.7751212658097989,0.06722865926264121,0.1576500749275599
Barley,67,4221,0.7726772103560644,0.08265953727668955,0.1446632523672461
Pears,38,2394,0.7716248460788617,0.03152852748497311,0.19684662643616513
"Peas, dry",55,3465,0.770915024790473,0.04421420683261349,0.18487076837691352
Cucumbers and gherkins,66,4158,0.7682928014099607,0.10371132028096722,0.1279958783090721
Sweet potatoes,95,5985,0.7584873032557533,0.02740281064874478,0.21410988609550197
"Coconuts, in shell",56,3528,0.7489277057790864,0.02160495403496323,0.22946734018595039
Bananas,101,6363,0.7445370246295809,0.02467022392661914,0.23079275144379996
Apples,43,2709,0.7331969960920931,0.07203784761385691,0.19476515629405
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",58,3654,0.7318232046677264,0.1032010942911894,0.16497570104108417
"Mangoes, guavas and mangosteens",45,2835,0.7315071923514441,0.00795435029809302,0.2605384573504629
Lettuce and chicory,50,3150,0.7293048298478028,0.0214311298584389,0.24926404029375837
Sugar cane,75,4725,0.7248678582807186,0.014254296829381093,0.2608778448899003
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",43,2709,0.7206616428399827,0.01437314902017835,0.2649652081398389
Rice,98,6174,0.7163402621901557,0.08820185578728432,0.19545788202255998
"Onions and shallots, dry (excluding dehydrated)",96,6048,0.7155236988450734,0.12520575244331159,0.15927054871161506
"Other beans, green",49,3087,0.711504886198588,0.049430812258372175,0.23906430154303981
Potatoes,110,6930,0.7082710459842269,0.11858583927447261,0.1731431147413005
"Seed cotton, unginned",69,4347,0.7043527291554522,0.06316498580638118,0.2324822850381666
"Other fruits, n.e.c.",65,4095,0.7029193445123985,0.007444567977745505,0.28963608750985603
"Pumpkins, squash and gourds",59,3717,0.6990228677102854,0.021618581777126628,0.27935855051258796
Wheat,84,5292,0.6963756702006102,0.1409838512133313,0.16264047858605846
Maize (corn),126,7938,0.6913485783693758,0.1225396821543618,0.18611173947626236
Plantains and cooking bananas,36,2268,0.6901283454918473,0.026550332503183425,0.2833213220049693
Other pulses n.e.c.,70,4410,0.6860234820122936,0.0270580619619809,0.2869184560257255
"Broad beans and horse beans, dry",32,2016,0.6826620382386814,0.07890722046218229,0.23843074129913622
Unmanufactured tobacco,95,5985,0.6813107133428999,0.0921690649975066,0.2265202216595934
Millet,54,3402,0.6802552098090546,0.03172768918592759,0.28801710100501776
"Peas, green",44,2772,0.680119703614923,0.020123294244145662,0.29975700214093126
"Groundnuts, excluding shelled",89,5607,0.6665667570907053,0.05569356007507789,0.2777396828342168
"Beans, dry",72,4536,0.6628995321321507,0.10207735010142908,0.23502311776642026
Oranges,72,4536,0.6582577120790128,0.050645600428254674,0.29109668749273243
Lemons and limes,49,3087,0.651641718994779,0.02142586881725814,0.3269324121879629
"Cassava, fresh",88,5544,0.6501050861788614,0.04880799310246434,0.30108692071867427
Green garlic,50,3150,0.6497512944566826,0.09283572276591066,0.25741298277740676
Sunflower seed,35,2205,0.6461742093669876,0.1242342914066336,0.2295914992263789
Pineapples,58,3654,0.6395128991226259,0.06620629900507626,0.2942808018722979
"Coffee, green",68,4284,0.6328927818080491,0.011100477147987516,0.35600674104396335
Plums and sloes,36,2268,0.6327729785007153,0.02157060718765972,0.34565641431162497
Cocoa beans,54,3402,0.6323601500274247,0.00435502635854258,0.3632848236140327
Soya beans,43,2709,0.6310871429062199,0.15008618736748017,0.21882666972629994
Pomelos and grapefruits,37,2331,0.6299461253360233,0.03921240039645444,0.3308414742675222
Cabbages,82,5166,0.6172283997374486,0.0821946222634172,0.3005769779991342
Avocados,31,1953,0.6039793856752912,0.024199081544026647,0.3718215327806822
Grapes,55,3465,0.5788899805465982,0.0799530676754947,0.34115695177790706
Yams,42,2646,0.5606421896687692,0.007431472588354686,0.43192633774287614
Papayas,31,1953,0.5442481470252034,0.10826846815885956,0.347483384815937
"Tangerines, mandarins, clementines",35,2205,0.5209963017776457,0.06857888921047353,0.41042480901188083
Sesame seed,52,3276,0.5136920734823929,0.1158460513946398,0.37046187512296735
Cauliflowers and broccoli,50,3150,0.483142054753206,0.011784291249875692,0.5050736539969183
Watermelons,59,3717,0.4635431718323481,0.13475869963404544,0.4016981285336064
Peaches and nectarines,37,2331,0.46091129329317654,0.06729987719980944,0.47178882950701406
Cantaloupes and other melons,55,3465,0.42099691804514017,0.1481243350194534,0.4308787469354064
Tea leaves,31,1953,0.2565590209296019,0.5791765165726814,0.16426446249771665
