pathogen,group,disease,importance_source
Magnaporthe oryzae,Fungus,Rice blast,Top 10 fungal (Dean et al. 2012)
Botrytis cinerea,Fungus,Grey mould,Top 10 fungal (Dean et al. 2012)
Puccinia graminis,Fungus,Wheat stem rust,Top 10 fungal (Dean et al. 2012)
Fusarium graminearum,Fungus,Fusarium head blight,Top 10 fungal (Dean et al. 2012)
Fusarium oxysporum,Fungus,Fusarium wilt,Top 10 fungal (Dean et al. 2012)
Blumeria graminis,Fungus,Powdery mildew of cereals,Top 10 fungal (Dean et al. 2012)
Zymoseptoria tritici,Fungus,Septoria leaf blotch,Top 10 fungal (Dean et al. 2012)
Ustilago maydis,Fungus,Corn smut,Top 10 fungal (Dean et al. 2012)
Melampsora lini,Fungus,Flax rust,Top 10 fungal (Dean et al. 2012)
Phytophthora infestans,Oomycete,Potato late blight,Top 10 oomycete (Kamoun et al. 2015)
Phytophthora sojae,Oomycete,Soybean root rot,Top 10 oomycete (Kamoun et al. 2015)
Phytophthora ramorum,Oomycete,Sudden oak death,Top 10 oomycete (Kamoun et al. 2015)
Phytophthora capsici,Oomycete,Phytophthora blight,Top 10 oomycete (Kamoun et al. 2015)
Plasmopara viticola,Oomycete,Grapevine downy mildew,Top 10 oomycete (Kamoun et al. 2015)
Pythium ultimum,Oomycete,Damping off,Top 10 oomycete (Kamoun et al. 2015)
Pseudomonas syringae,Bacterium,Bacterial speck and blights,Top 10 bacterial (Mansfield et al. 2012)
Ralstonia solanacearum,Bacterium,Bacterial wilt,Top 10 bacterial (Mansfield et al. 2012)
Agrobacterium tumefaciens,Bacterium,Crown gall,Top 10 bacterial (Mansfield et al. 2012)
Xanthomonas oryzae,Bacterium,Bacterial blight of rice,Top 10 bacterial (Mansfield et al. 2012)
Xanthomonas campestris,Bacterium,Black rot,Top 10 bacterial (Mansfield et al. 2012)
Erwinia amylovora,Bacterium,Fire blight,Top 10 bacterial (Mansfield et al. 2012)
Xylella fastidiosa,Bacterium,Pierce's disease and olive decline,Top 10 bacterial (Mansfield et al. 2012)
Pectobacterium carotovorum,Bacterium,Soft rot,Top 10 bacterial (Mansfield et al. 2012)
