pathogen,group,disease,assemblies,complete_or_chromosome,scaffold,contig,pct_well_assembled,first_year,latest_year,best_contig_n50,top_submitter,importance_source
Magnaporthe oryzae,Fungus,Rice blast,601,56,394,151,9.3,2011,2026,7502585,Fujian Agriculture and Forestry University,Top 10 fungal (Dean et al. 2012)
Botrytis cinerea,Fungus,Grey mould,66,4,23,39,6.1,2011,2026,2718152,INRAE,Top 10 fungal (Dean et al. 2012)
Puccinia graminis,Fungus,Wheat stem rust,6,1,3,2,16.7,2008,2022,1345248,Broad Institute,Top 10 fungal (Dean et al. 2012)
Fusarium graminearum,Fungus,Fusarium head blight,137,14,112,11,10.2,2008,2026,9395113,University of Warmia and Mazury in Olsztyn,Top 10 fungal (Dean et al. 2012)
Fusarium oxysporum,Fungus,Fusarium wilt,838,49,474,315,5.8,2011,2026,5052636,"AGRIBIO, CENTRE FOR AGRIBIOSCIENC",Top 10 fungal (Dean et al. 2012)
Blumeria graminis,Fungus,Powdery mildew of cereals,9,2,6,1,22.2,2013,2024,12755952,UNIVERSITY OF ZURICH,Top 10 fungal (Dean et al. 2012)
Zymoseptoria tritici,Fungus,Septoria leaf blotch,65,24,34,7,36.9,2011,2025,2962204,Rothamsted Research,Top 10 fungal (Dean et al. 2012)
Ustilago maydis,Fungus,Corn smut,39,4,24,11,10.3,2015,2022,876010,University of Zurich,Top 10 fungal (Dean et al. 2012)
Melampsora lini,Fungus,Flax rust,0,0,0,0,0.0,,,,,Top 10 fungal (Dean et al. 2012)
Phytophthora infestans,Oomycete,Potato late blight,8,1,3,4,12.5,2009,2024,7131884,Broad Institute,Top 10 oomycete (Kamoun et al. 2015)
Phytophthora sojae,Oomycete,Soybean root rot,12,9,2,1,75.0,2011,2024,8105859,National Institute of Crop Science,Top 10 oomycete (Kamoun et al. 2015)
Phytophthora ramorum,Oomycete,Sudden oak death,33,1,29,3,3.0,2008,2026,2096066,University of Exeter,Top 10 oomycete (Kamoun et al. 2015)
Phytophthora capsici,Oomycete,Phytophthora blight,19,3,11,5,15.8,2012,2025,3841935,University of Florida,Top 10 oomycete (Kamoun et al. 2015)
Plasmopara viticola,Oomycete,Grapevine downy mildew,4,0,4,0,0.0,2017,2026,666562,INRA,Top 10 oomycete (Kamoun et al. 2015)
Pythium ultimum,Oomycete,Damping off,3,0,2,1,0.0,2010,2022,123982,Michigan State University,Top 10 oomycete (Kamoun et al. 2015)
Pseudomonas syringae,Bacterium,Bacterial speck and blights,1788,219,579,990,12.2,2005,2026,6776371,NIAB East Malling Research,Top 10 bacterial (Mansfield et al. 2012)
Ralstonia solanacearum,Bacterium,Bacterial wilt,1222,293,167,762,24.0,2005,2026,5362379,Virginia Tech,Top 10 bacterial (Mansfield et al. 2012)
Agrobacterium tumefaciens,Bacterium,Crown gall,559,142,226,191,25.4,2011,2026,3335101,Oregon State University,Top 10 bacterial (Mansfield et al. 2012)
Xanthomonas oryzae,Bacterium,Bacterial blight of rice,1161,527,447,187,45.4,2005,2026,5238555,Huazhong Agricultural University,Top 10 bacterial (Mansfield et al. 2012)
Xanthomonas campestris,Bacterium,Black rot,1780,472,246,1062,26.5,2002,2026,5314063,The Xanthomonas Threats project,Top 10 bacterial (Mansfield et al. 2012)
Erwinia amylovora,Bacterium,Fire blight,669,102,366,201,15.2,2010,2026,3918171,Agriculture and Agri-Food Canada,Top 10 bacterial (Mansfield et al. 2012)
Xylella fastidiosa,Bacterium,Pierce's disease and olive decline,572,219,86,267,38.3,2001,2026,2813297,INRAE,Top 10 bacterial (Mansfield et al. 2012)
Pectobacterium carotovorum,Bacterium,Soft rot,252,50,91,111,19.8,2008,2026,5310334,Cornell University,Top 10 bacterial (Mansfield et al. 2012)
