countryCode,first_record,records,total_gbif_records,per_million
IR,2012,10,1300056,7.691976345634342
IT,2013,104,13957308,7.45129361621883
BR,1992,96,43622337,2.2007074036404792
AR,1998,19,18816586,1.0097474642849664
CN,2022,10,15259584,0.6553258594729712
GB,2014,122,256018260,0.47652851011486447
US,1906,543,1307032159,0.4154450189010231
ES,2017,31,94440198,0.3282500530123835
FR,2012,63,213498317,0.2950842933342655
TW,2002,5,26245667,0.19050763693679418
CA,2020,12,219846774,0.054583470940537886
