pathogen,group,disease,assemblies,complete_or_chromosome,scaffold,contig,pct_well_assembled,first_year,latest_year,best_contig_n50,top_submitter,importance_source
Pseudomonas syringae,Bacterium,Bacterial speck and blights,1788,219,579,990,12.2,2005.0,2026.0,6776371.0,NIAB East Malling Research,Top 10 bacterial (Mansfield et al. 2012)
Xanthomonas campestris,Bacterium,Black rot,1780,472,246,1062,26.5,2002.0,2026.0,5314063.0,The Xanthomonas Threats project,Top 10 bacterial (Mansfield et al. 2012)
Ralstonia solanacearum,Bacterium,Bacterial wilt,1222,293,167,762,24.0,2005.0,2026.0,5362379.0,Virginia Tech,Top 10 bacterial (Mansfield et al. 2012)
Xanthomonas oryzae,Bacterium,Bacterial blight of rice,1161,527,447,187,45.4,2005.0,2026.0,5238555.0,Huazhong Agricultural University,Top 10 bacterial (Mansfield et al. 2012)
Fusarium oxysporum,Fungus,Fusarium wilt,838,49,474,315,5.8,2011.0,2026.0,5052636.0,"AGRIBIO, CENTRE FOR AGRIBIOSCIENC",Top 10 fungal (Dean et al. 2012)
Erwinia amylovora,Bacterium,Fire blight,669,102,366,201,15.2,2010.0,2026.0,3918171.0,Agriculture and Agri-Food Canada,Top 10 bacterial (Mansfield et al. 2012)
Magnaporthe oryzae,Fungus,Rice blast,601,56,394,151,9.3,2011.0,2026.0,7502585.0,Fujian Agriculture and Forestry University,Top 10 fungal (Dean et al. 2012)
Xylella fastidiosa,Bacterium,Pierce's disease and olive decline,572,219,86,267,38.3,2001.0,2026.0,2813297.0,INRAE,Top 10 bacterial (Mansfield et al. 2012)
Agrobacterium tumefaciens,Bacterium,Crown gall,559,142,226,191,25.4,2011.0,2026.0,3335101.0,Oregon State University,Top 10 bacterial (Mansfield et al. 2012)
Pectobacterium carotovorum,Bacterium,Soft rot,252,50,91,111,19.8,2008.0,2026.0,5310334.0,Cornell University,Top 10 bacterial (Mansfield et al. 2012)
Fusarium graminearum,Fungus,Fusarium head blight,137,14,112,11,10.2,2008.0,2026.0,9395113.0,University of Warmia and Mazury in Olsztyn,Top 10 fungal (Dean et al. 2012)
Botrytis cinerea,Fungus,Grey mould,66,4,23,39,6.1,2011.0,2026.0,2718152.0,INRAE,Top 10 fungal (Dean et al. 2012)
Zymoseptoria tritici,Fungus,Septoria leaf blotch,65,24,34,7,36.9,2011.0,2025.0,2962204.0,Rothamsted Research,Top 10 fungal (Dean et al. 2012)
Ustilago maydis,Fungus,Corn smut,39,4,24,11,10.3,2015.0,2022.0,876010.0,University of Zurich,Top 10 fungal (Dean et al. 2012)
Phytophthora ramorum,Oomycete,Sudden oak death,33,1,29,3,3.0,2008.0,2026.0,2096066.0,University of Exeter,Top 10 oomycete (Kamoun et al. 2015)
Phytophthora capsici,Oomycete,Phytophthora blight,19,3,11,5,15.8,2012.0,2025.0,3841935.0,University of Florida,Top 10 oomycete (Kamoun et al. 2015)
Phytophthora sojae,Oomycete,Soybean root rot,12,9,2,1,75.0,2011.0,2024.0,8105859.0,National Institute of Crop Science,Top 10 oomycete (Kamoun et al. 2015)
Blumeria graminis,Fungus,Powdery mildew of cereals,9,2,6,1,22.2,2013.0,2024.0,12755952.0,UNIVERSITY OF ZURICH,Top 10 fungal (Dean et al. 2012)
Phytophthora infestans,Oomycete,Potato late blight,8,1,3,4,12.5,2009.0,2024.0,7131884.0,Broad Institute,Top 10 oomycete (Kamoun et al. 2015)
Puccinia graminis,Fungus,Wheat stem rust,6,1,3,2,16.7,2008.0,2022.0,1345248.0,Broad Institute,Top 10 fungal (Dean et al. 2012)
Plasmopara viticola,Oomycete,Grapevine downy mildew,4,0,4,0,0.0,2017.0,2026.0,666562.0,INRA,Top 10 oomycete (Kamoun et al. 2015)
Pythium ultimum,Oomycete,Damping off,3,0,2,1,0.0,2010.0,2022.0,123982.0,Michigan State University,Top 10 oomycete (Kamoun et al. 2015)
Melampsora lini,Fungus,Flax rust,0,0,0,0,0.0,,,,,Top 10 fungal (Dean et al. 2012)
